# Mapping from ICD-9 code to disease name (derived SI-Appendix 3 of Rzhetsky 
# et. al. 2007)
#
# I removed comma from these disease name, so that text can be more
# conveniently parsed:
# (1) "Breast cancer, female" becomes "Breast cancer (female)"
# (2) "Breast cancer, male" becomes "Breast cancer (male)"
# (3) "Cardiomyopathy, primary" becomes "Cardiomyopathy (primary)"
#
# I commented out these lines:
# (1) "277.0","Amino acid (AA) transport disorders"
#     Reason: this ICD-9 belongs to "Cystic fibrosis".
# (2) "237.70","Carcinoma in situ"
#     Reason: this ICD-9 more accurately maps to "Neurofibromatosis"
# (3) "237.71","Carcinoma in situ"
#     Reason: this ICD-9 more accurately maps to "Neurofibromatosis"
# (4) "237.72","Carcinoma in situ"
#     Reason: this ICD-9 more accurately maps to "Neurofibromatosis"
# (5) "272.8","Lipid metabolism disorders"
#     Reason:  this is a duplicated entry.
# (6) "299.00","Pervasive developmental disorders"
#     Reason:  this ICD-9 more accurately maps to "Autism"
# (7) "299.01","Pervasive developmental disorders"
#     Reason: this ICD-9 more accurately maps to "Autism"
#
# I modified these lines:
# (1) "29624","Depression" to "296.24","Depression"
# (2) "29625","Depression" to "296.25","Depression"
# (3) "29626","Depression" to "296.26","Depression"
# (4) "29630","Depression" to "296.30","Depression"
# (5) "29631","Depression" to "296.31","Depression"
# (6) "29632","Depression" to "296.32","Depression"
# (7) "29633","Depression" to "296.33","Depression"
# (8) "29634","Depression" to "296.34","Depression"
# (9) "29635","Depression" to "296.35","Depression"
# (10) "29636","Depression" to "296.36","Depression"

"270.2","Amino acid (AA) metabolism (aromatic) disorders"
"270.3","Amino acid (AA) metabolism (branched) disorders"
"270.8","Amino acid (AA) metabolism (Lowe) disorders"
"270.4","Amino acid (AA) metabolism (sulfur-bearing) disorders"
"270.7","Amino acid (AA) metabolism (straight-chain) disorders"
"270","Amino acid (AA) transport disorders"
# "277.0","Amino acid (AA) transport disorders"
"701.2","Acanthosis nigricans"
"276.2","Acidosis"
"270.9","Aciduria"
"039.0","Actinomycosis"
"039.1","Actinomycosis"
"039.2","Actinomycosis"
"039.3","Actinomycosis"
"039.4","Actinomycosis"
"039.8","Actinomycosis"
"039.9","Actinomycosis"
"208.0","Acute leukemia"
"205.0","Acute promyelocytic leukemia"
"136.0","Ainhum"
"756.59","Albright-Sternberg syndrome"
"291.0","Alcoholism"
"291.1","Alcoholism"
"291.2","Alcoholism"
"291.3","Alcoholism"
"291.4","Alcoholism"
"291.5","Alcoholism"
"291.81","Alcoholism"
"291.89","Alcoholism"
"291.9","Alcoholism"
"303.00","Alcoholism"
"303.01","Alcoholism"
"303.02","Alcoholism"
"303.03","Alcoholism"
"303.90","Alcoholism"
"303.91","Alcoholism"
"303.92","Alcoholism"
"303.93","Alcoholism"
"305.00","Alcoholism"
"305.01","Alcoholism"
"305.02","Alcoholism"
"305.03","Alcoholism"
"357.5","Alcoholism"
"425.5","Alcoholism"
"571.0","Alcoholism"
"571.1","Alcoholism"
"571.2","Alcoholism"
"571.3","Alcoholism"
"790.3","Alcoholism"
"477.1","Allergic rhinitis"
"477.2","Allergic rhinitis"
"477.8","Allergic rhinitis"
"477.9","Allergic rhinitis"
"276.3","Alkalosis"
"704.00","Alopecia"
"704.02","Alopecia"
"704.09","Alopecia"
"704.01","Alopecia areata"
"290.0","Alzheimer's disease"
"290.10","Alzheimer's disease"
"331.0","Alzheimer's disease"
"006.0","Amebiasis"
"006.1","Amebiasis"
"006.2","Amebiasis"
"006.3","Amebiasis"
"006.4","Amebiasis"
"006.5","Amebiasis"
"006.6","Amebiasis"
"006.8","Amebiasis"
"006.9","Amebiasis"
"335.20","Amyotrophic lateral sclerosis"
"041.82","Anaerobes"
"041.83","Anaerobes"
"041.84","Anaerobes"
"038.3","Anaerobes"
"743.45","Aniridia"
"720.0","Ankylosing spondylitis"
"022.0","Anthrax"
"022.1","Anthrax"
"022.2","Anthrax"
"022.3","Anthrax"
"022.8","Anthrax"
"022.9","Anthrax"
"441.1","Aortic aneurysm"
"441.2","Aortic aneurysm"
"441.3","Aortic aneurysm"
"441.4","Aortic aneurysm"
"441.5","Aortic aneurysm"
"441.6","Aortic aneurysm"
"441.7","Aortic aneurysm"
"441.9","Aortic aneurysm"
"284.0","Aplastic anemia"
"284.8","Aplastic anemia"
"284.9","Aplastic anemia"
"314.0","Attention deficit"
"314.00","Attention deficit"
"314.01","Attention deficit"
"299.00","Autism"
"299.01","Autism"
"136.1","Behcet's syndrome"
"711.20","Behcet's syndrome"
"711.21","Behcet's syndrome"
"711.22","Behcet's syndrome"
"711.23","Behcet's syndrome"
"711.24","Behcet's syndrome"
"711.25","Behcet's syndrome"
"711.26","Behcet's syndrome"
"711.27","Behcet's syndrome"
"711.28","Behcet's syndrome"
"711.29","Behcet's syndrome"
"210.0","Benign neoplasms"
"210.1","Benign neoplasms"
"210.2","Benign neoplasms"
"210.3","Benign neoplasms"
"210.4","Benign neoplasms"
"210.5","Benign neoplasms"
"210.6","Benign neoplasms"
"210.7","Benign neoplasms"
"210.8","Benign neoplasms"
"210.9","Benign neoplasms"
"211.0","Benign neoplasms"
"211.1","Benign neoplasms"
"211.2","Benign neoplasms"
"211.3","Benign neoplasms"
"211.4","Benign neoplasms"
